range,stage,DLI,DLIwCO2,regCO2,boostCO2,time,spectrum1,spectrum1Color,spectrumRel,spectrum2,spectrum2Color,distance,hex,regAbsortion,boostAbsortion,PPFD,PPFDwCO2
1,Germination,12,,400,600,16-24,400-500,azul,,,,60-90,00BFFF,30,,138.89,
2,Seedling,16,,400,600,16-24,400-500,azul,,,,40-60,006EFF,30,,185.19,
3,Vegetative,20,25,800,1200,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,231.48,289.35
4,Vegetative,30,38,800,1200,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,347.22,439.81
5,Vegetative,40,50,800,1200,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,462.96,578.7
6,Vegetative,45,55,800,1200,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,520.83,636.57
7,Vegetative,45,55,800,1200,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,520.83,636.57
8,Pre-Flowering,45,55,1000,1500,16-24,400-500,azul,=,600-700,rojo,30-40,FF11D3,85,,520.83,636.57
9,Pre-Flowering,45,55,1000,1500,16-24,400-500,azul,=,600-700,rojo,30-40,FF11D3,85,,520.83,636.57
10,Flowering,45,55,1000,1500,16-24,400-500,azul,<,600-700,rojo,30-40,FF4500,85,,520.83,636.57
11,Flowering,45,55,1000,1500,16-24,400-500,azul,<,600-700,rojo,30-40,FF4500,85,,520.83,636.57
12,Flowering,45,55,1000,1500,16-24,400-500,azul,<,600-700,rojo,30-40,FF4500,85,,520.83,636.57
13,Flowering,40,50,1000,1500,16-24,400-500,azul,<,600-700,rojo,30-40,FF4500,85,,462.96,578.7
14,Maturing,36,45,1000,1500,16-24,315-400,UV,=,700-800,FR,30-40,971823,85,,416.67,520.83
15,Maturing,32,40,1000,1500,16-24,315-400,UV,=,700-800,FR,30-40,971823,85,,370.37,462.96
