range,stage,DLI,DLIwCO2,regCO2,boostCO2,time,spectrum1,spectrum1Color,spectrumRel,spectrum2,spectrum2Color,distance,hex,regAbsortion,boostAbsortion,PPFD,PPFDwCO2
1,Germination,12,,400,600,16-24,400-500,azul,,,rojo,60-90,00BFFF,30,,138.89,
2,Seedling,16,,400,600,16-24,400-500,azul,,,rojo,40-60,006EFF,30,,185.19,
3,Vegetative,20,25,600,1000,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,231.48,289.35
4,Vegetative,30,38,600,1000,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,347.22,439.81
5,Vegetative,40,50,600,1000,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,462.96,578.7
6,Vegetative,45,55,600,1000,16-24,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,520.83,636.57
7,Vegetative,25,31,600,1000,10-14,400-500,azul,>,500-600,rojo,30-50,BD23FF,45,,496.03,615.08
8,Pre-Flowering,28,35,1000,1400,10-13,400-500,azul,=,600-700,rojo,30-40,FF11D3,85,,598.29,747.86
9,Pre-Flowering,30,38,1000,1400,10-13,400-500,azul,=,600-700,rojo,30-40,FF11D3,85,,641.03,811.97
10,Flowering,34,42,1000,1400,10-13,400-500,azul,<,600-700,rojo,30-40,FF4500,85,,726.5,897.44
11,Flowering,36,45,1000,1400,10-13,400-500,azul,<,600-700,rojo,30-40,FF4500,85,,769.23,961.54
12,Flowering,38,48,1000,1400,10-13,400-500,azul,<,600-700,rojo,30-40,FF4500,85,,811.97,1025.64
13,Flowering,40,50,1000,1400,10-14,400-500,azul,<,700-800,rojo,30-40,FF4500,85,,793.65,992.06
14,Maturing,36,45,1000,1400,10-14,315-400,UV,=,700-800,FR,30-40,971823,85,,714.29,892.86
15,Maturing,32,40,1000,1400,10-14,315-400,UV,=,700-800,FR,30-40,971823,,,634.92,793.65
